id,value
flare,
flare.3.hai,577
flare.2.na,310
flare.4.know,279
flare.2.tu,270
flare.4.nahi,253
flare.5.don't,239
flare.4.😂,232
flare.3.toh,222
flare.4.like,217
flare.3.kya,217
flare.4.i'll,198
flare.3.bhi,188
flare.4.time,183
flare.6.that's,164
flare.4.good,157
flare.4.okay,153
flare.3.get,147
flare.4.it's,147
flare.2.ka,140
flare.2...,136
flare.2.se,133
flare.3.yea,127
flare.3.kar,124
flare.3.see,122
flare.3.i'm,120
flare.4.😅,116
flare.6.you're,116
flare.2.hi,116
flare.4.😊,114
flare.3.one,112
flare.3....,112
flare.2.ho,112
flare.4.🙈,103
flare.4.abhi,102
flare.3.mai,100
flare.4.take,95
flare.2.ki,95
flare.4.call,92
flare.3.got,89
flare.4.😁,88
flare.3.tha,88
flare.4.😄,86
flare.3.par,86
flare.2.?!,85
flare.3.haa,84
flare.4.😛,84
flare.4.well,80
flare.5.think,80
flare.5.accha,79
flare.4.even,77
flare.6.didn't,76
flare.2.ko,76
flare.6.sakshi,76
flare.2.ha,75
flare.4.kuch,73
flare.2.go,73
flare.3.☺,72
flare.4.come,71
flare.4.hai.,70
flare.3.ahe,70
flare.6.really,69
flare.4.much,68
flare.5.right,68
flare.4.tell,67
flare.8.😂😂,67
flare.2.oh,67
flare.2.hu,66
flare.4.yaar,66
flare.2.ra,65
flare.5.can't,65
flare.3.woh,63
flare.4.talk,63
flare.4.😬,62
flare.3.tar,62
flare.6.please,61
flare.9.something,61
flare.4.make,60
flare.4.baat,60
flare.3.day,59
flare.4.sure,59
flare.4.back,58
flare.4.teko,58
flare.4.haan,57
flare.5.great,56
flare.3.kay,56
flare.4.mean,56
flare.3.yes,56
flare.3.pan,56
flare.3.btw,55
flare.4.mala,54
flare.3.try,54
flare.4.thik,54
flare.12.😂😂😂,54
flare.4.feel,54
flare.3.aur,53
flare.2..?,52
flare.4.i've,52
flare.3.mat,51
flare.4.mein,51
flare.5.going,50
flare.2.ya,50
flare.6.people,49
flare.3.sab,49
flare.4.free,49
flare.4.next,48
flare.3.omg,48
flare.3.huh,48
flare.3.yar,48
flare.4.chal,47
flare.3.lol,47
flare.4.🤣,47
flare.3.bol,47
flare.3.koi,47
flare.3.nhi,47
flare.5.happy,46
flare.6.better,46
flare.2.aa,45
flare.3.way,45
flare.4.aurr,45
flare.5.never,45
flare.4.tere,45
